text,label
졸업하려면 학점을 얼마나 들어야해?,0
졸업 학점이 어떻게 되나요?,0
졸업 학점 조건이 어떻게 되나요?,0
졸업하고 싶은데 학점을 얼마나 취득해야해?,0
졸업 요건 중 학점은 어떻게 되나요?,0
졸업하려면 학점을 얼마나 채워야하나요?,0
졸업하려면 몇학점이 필요해?,0
학교 졸업하고 싶은데 학점을 얼마나 들어야해?,0
얼마나 학점을 취득해야 졸업할 수 있나요?,0
졸업하고 싶은데 들어야 할 총 학점이 얼마나 되나요?,0
내년에 졸업해야하는데 총 학점을 얼마나 들어야 가능할까요?,0
졸업 준비 중인데 학점을 얼마나 들어야하나요?,0
졸업하려면 학점을 총 몇 학점 들어야해?,0
졸업 총 학점이 어떻게 돼?,0
졸업 학점을 채우려는데 얼만큼 있나요?,0
총 졸업 학점이 얼마인가요?,0
학교에서 요구하는 졸업 학점은 어떻게 되나요?,0
졸업하려는데 학점을 얼마나 들어야 졸업할 수 있나요?,0
학점을 얼마나 들어야 졸업할 수 있나요?,0
졸업하려면 학점 총점이 얼마나 되야하나요?,0
학교 졸업 조건 중 학점은 어떻게 되나요?,0
졸업 학점이 총 얼마인지 알려줘,0
학교 탈출하고 싶은데 학점을 얼마나 들어야 하니?,0
졸업해서 학교 탈출하고 싶은데 학점을 얼마나 따야하나요?,0
졸업 조건 중 학점은 얼마야?,0
졸업하고 싶은데 취득해야 할 학점이 어떻게 되는지 알려줘,0
졸업 조건 중에서 총 학점은 얼마나 돼?,0
졸업하려는데 총 학점이 어떻게 되는지 알려줘,0
학교 졸업 학점이 얼마나 되는지 아니?,0
졸업하고 싶은데 몇 학점 들어야 하는지 모르겠어,0
정정기간은 언제인가요?,1
정정기간 언제부터 언제까지인가요?,1
정정기간 끝났나요?,1
언제부터 정정기간인가요?,1
정정기간 관련해서 궁금합니다.,1
정정기간에 대해 알려주세요,1
수강 정정 언제 가능한가요?,1
수강 신청 망했는데 바꿀 수 있나요?,1
수강 변경 언제 가능한가요?,1
수강 변경할 수 있나요?,1
수강 변경 가능해?,1
수강 정정 가능해?,1
수강 정정하고싶은데 어떻게 하나요,1
수강 정정하고싶어요,1
수강정정언제야,1
수강정정 알려줘,1
정정기간 언제야,1
언제 정정기간이야,1
수강정정하고싶어,1
정정 기간에 대해 궁금해,1
정정 기간 알려줘,1
정정 언제야?,1
언제부터 수강정정할 수 있어?,1
수강 정정 언제부터야?,1
정정기간 언제부터 언제까지야?,1
정정기간 알고싶어요,1
정정기간은 언제에요?,1
수강 정정은 어떻게 하나요?,1
정정은 어떻게 해요?,1
수강 신청한거 어떻게 바꿔요?,1
데이터 사이언스학과 수업을 들어도 전공으로 인정이 되나요?,2
지능기전 수업 들어도 전선 되나요?,2
다른과 C언어 들어도 인정 되나요?,2
다른과 수업 인정되는게 뭐가 있나요?,2
학수번호 같으면 다른과거 들어도 돼요?,2
학수번호 다른데 이름은 비슷한데 이거도 전공으로 인정 되나요?,2
인정되는 다른과 수업은 뭐가 있나요?,2
다른과 수업도 인정되는 경우가 있나요?,2
다른과 것도 전공으로 인정되나요?,2
다른과 전선을 우리과 전필로 인정해주나요?,2
컴퓨터공학과 수업을 들어도 우리과 전공으로 인정되나요?,2
다른과 수업 들어도 전공으로 인정 되나요?,2
컴퓨터 공학과 수업도 전공 되나요?,2
다른과 전선도 전필로 인정 되나요?,2
다른과 전공도 전공으로 인정해줘?,2
다른과 수업 전공 들어도 인정되는지 궁금합니다,2
우리과 수업 말고 다른과걸로 들어도 전공이 인정되는지 알려주세요,2
전공을 다른과 같은 학수번호 수업으로 들어도 되나요?,2
학수번호 다른데 전공으로 인정 되나요?,2
소융대가 아닌 다른과 전공은 전공으로 인정 되나요?,2
소융대 다른과 수업 들으면 전공 인정 되나요?,2
다른과 수업 전공 들어도 인정 되나요?,2
전공 다른과거 듣고 싶은데 가능한가여?,2
다른과 전공 인정 되나요?,2
전공 우리과랑 학수번호 같은 다른과거 들어도 되나요?,2
수업 다른과거 들어도 인정 되나요?,2
다른과 수업 전공으로 인정되는 기준이 뭔가요?,2
다른과 전공 듣고싶은데 교양으로 들어가는건가요?,2
