k,answer
졸업요건,"2019년 입학자 기준 중핵 필수는 14학점 이상, 중핵필수선택은 21학점 이상, 전공기초교양은 9학점 이상, 전공 필수 40학점 이상, 전공 선택은 42학점 이상 들으셔야합니다.자세한 사항은 수강 편람을 참고해주세요."
정정기간,수강 정정 기간은 3월 6일부터 3월 13일까지입니다. 수강 정정은 학사정보시스템에서 하실 수 있습니다.
다른과 전공,"컴퓨터공학과, 정보보호학과, 데이터 사이언스학과에서 개설된 전공과목을 수강할 경우 이를 모두 전공 선택으로 인정합니다. 이외에도 전공으로 인정되는 과목은 아래와 같으며 아래 과목은 합산 최대 6학점 까지만 인정됩니다.- 정보보호학과: 시스템관리 및 보안, 보안프로그래밍- 엔터네인먼트소프트웨어: ES-엔터테인먼트미디어프로젝트- 소셜미디어매니지먼트 소프트웨어: SM-소셜미디어프로젝트- 지능기전공학부(무인이동체공학,스마트기기공학): 창의융합노마드-> 상기한 7개 과목은 타학과 교과목이지만 우리과 과목으로 인정이 됩니다.(최대 6학점 까지만)"
수강신청어디서,수강신청은 학사정보시스템에 로그인 후 좌측에 수업/성적>강좌조회 및 수강신청>수강신청 에서 하실 수 있습니다. 학사정보시스템 링크를 알려드릴께요~ http://uis.sejong.ac.kr/app/
장학금,장학금 제도에 관해서 링크를 참고해 주세요! http://www.sejong.ac.kr/unilife/campusscholarship.html?menu_id=4.2
교과과정,각 학기에 신청해야할 과목을 선택하시는 http://sejong.ac.kr/unilife/subject_2018.html?menu_id=1.2 이 곳이 도움이 될 것 같습니다.
고전강독,"서양의 역사와 사상 4권, 동양의 역사와 사상 2권, 동.서양의 문학 3권, 과학 사상 1권, 최소 총 10권의 책을 인증 받으셔야 졸업요건을 충족할 수 있어요., 더 자세한 내용은 대향휴머니티칼리지를 참조해 주세요.https://classic.sejong.ac.kr/"
교수님 사무실,소프트웨어 융합대학 교수님 정보에 관련해서 다음 주소해서 확인할 수 있어요! http://home.sejong.ac.kr/~digitdpt/2.html
입시 자료,"아래 페이지들을 통해서 수시 및 정시 모집 요강과 입시자료를 확인하실 수 있습니다.
수시 모집 요강 : http://ipsi.sejong.ac.kr/sub_page/sub1/0101.asp?tab1=1
정시 모집 요강 : http://ipsi.sejong.ac.kr/sub_page/sub2/0101.asp?tab1=2
입시 자료 : http://ipsi.sejong.ac.kr/sub_page/sub5/0109_list.asp?tab1=5&B_CODE=BOARD_1464099007&B_CATEGORY=0"
제출 서류,"아래 페이지들을 통해서 수시 및 정시 제출 서류 양식을 확인하실 수 있습니다.
수시 제출 서류 : http://ipsi.sejong.ac.kr/sub_page/sub1/0102_list.asp?tab1=1&B_CODE=BOARD_1455733312&B_CATEGORY=1
정시 제출 서류 : http://ipsi.sejong.ac.kr/sub_page/sub1/0102_list.asp?tab1=1&B_CODE=BOARD_1455733312&B_CATEGORY=2"
경쟁률,"아래 페이지를 통해서 수시, 정시 및 재외국민에 대한 입시 경쟁률을 확인하실 수 있습니다. 경쟁률 : http://ipsi.sejong.ac.kr/sub_page/sub1/0103_list.asp?tab1=1&B_CODE=BOARD_1455733465&B_CATEGORY=0"
취업,"아래 페이지들을 통해서 취업 및 창업에 관한 정보들을 확인하실 수 있습니다.
취.창업 지원처 소개 : http://www.sejong.ac.kr/unilife/job_01.html?menu_id=7.0
소프트웨어 취업 및 공모전 : http://home.sejong.ac.kr/~digitdpt/17.html
"
교환학생,교환학생 관련 정보는 학교홈페이지에서 찾으실 수 있습니다.
